setup_time_ms,compile_time_ms,deploy_time_ms,state_slot_setup_time_ms,num_state_slots,num_state_arrays,execution_time_ms,debug_open_time_ms,byteop_count,jump_to_end_time_ms,total_time_ms,pure_debug_time_ms,success,error,contract_name,function_name,annotation_targets,expected_state_slots,run_number
1166.4208000001963,16499.300899995433,18559.22239999927,0.0011999945854768,0,0,1007.896700000856,4746.20000000298,461,60423.60000000149,108156.5297000052,65169.80000000447,True,,AOC_BEP,updateUserInfo,0,0,1
1179.0681999991648,16472.382299994933,18588.14480000001,10174.54739999812,6,0,977.1766999983812,4509.20000000298,803,97858.19999999552,155036.8418999933,102367.39999999852,True,,ATIDStaking,_insertLockedStake,11,7,1
1162.1767000033287,16537.387399999716,18661.60410000157,1994.3181999988155,2,0,924.7378000000026,31725.30000000447,75,29543.79999999702,103353.64090000076,61269.10000000149,True,,AloeBlend,_earmarkSomeForMaintenance,4,2,1
1170.042799996736,16549.92819999461,18659.996199996385,2744.194899998547,2,0,962.9857999971136,5591.89999999851,161,33248.19999999553,84132.76309999492,38840.09999999404,True,,Amoss,_burn,4,2,1
1665.5576999983168,16433.406099997228,18531.91610000067,4453.743400001258,0,1,923.3196999994108,4472.79999999702,67,25797.5,77514.55500000156,30270.29999999702,True,,AvatarArtMarketplace,_removeFromTokens,2,1,1
1138.9784999992116,16379.543099996226,18641.202499995416,3649.484699999448,2,0,987.0732000053976,4037.0,80,11725.0,61709.23369999946,15762.0,True,,BEP20,transferFrom,6,3,1
1169.618400002946,16419.004600000335,18560.577800002648,3106.0107000012067,0,1,966.8077999958768,4614.89999999851,343,47833.20000000298,97813.37570000323,52448.10000000149,True,,Balancer,_addActionBuilderAt,3,1,1
1168.7692999985302,16428.733299995656,18523.58109999477,1524.173799996788,1,0,967.851299996255,11730.29999999702,62,24943.19999999553,80729.58340000332,36673.49999999255,True,,BitBookStake,viewFeePercentage,3,1,1
1173.7234000029275,16522.034800000256,18506.033800003934,5440.361299995857,4,0,933.2543000055012,5212.20000000298,131,26949.19999999553,80434.81640000391,32161.39999999851,True,,Claim,getCurrentClaimAmount,6,4,1
1172.6918000058504,16538.588299998082,18626.55700000323,4806.85220000305,1,1,955.5933000010556,4889.10000000149,431,50004.80000000447,102379.74289999693,54893.90000000596,True,,Core,revokeStableMaster,3,2,1
